Station_ID,1960-1990,,,,,,1991-2020,,,,,,,,,,,,,,,,,,,
,"Count 2-5, P1","Count 5-10, P1","Count 10-25, P1","Count 25-50, P1","Count 500-100, P1","Count >100, P1","Count 2-5, P2","Count 5-10, P2","Count 10-25, P2","Count 25-50, P2","Count 500-100, P2","Count >100, P2",,,,,,,,,,,,,,
5452000,11,4,1,0,0,1,7,4,2,2,0,1,,,,,,,,,,,,,,
5452200,9,2,4,0,0,0,8,5,2,1,1,0,,,,,,,,,,,,,,
5454500,14,2,1,0,0,1,11,0,0,1,0,5,,,,,,,,,,,,,,
5455500,9,3,2,1,0,0,9,3,1,0,1,3,,,,,,,,,,,,,,
5458000,9,3,2,1,0,0,10,1,2,0,1,3,,,,,,,,,,,,,,
5458900,12,1,3,1,0,0,10,4,1,0,1,0,,,,,,,,,,,,,,
5464000,11,2,1,2,0,0,8,3,5,2,1,1,,,,,,,,,,,,,,
5464500,9,3,1,2,0,0,10,3,6,1,1,1,,,,,,,,,,,,,,
5465000,9,2,4,1,0,0,8,3,4,4,1,1,,,,,,,,,,,,,,
5479000,9,3,2,1,0,0,16,2,6,1,0,0,,,,,,,,,,,,,,
5481000,9,4,2,1,0,0,6,4,5,1,0,2,,,,,,,,,,,,,,
5485500,7,5,1,1,0,0,11,3,3,0,0,2,,,,,,,,,,,,,,
5486490,9,3,3,1,0,0,6,5,4,2,1,1,,,,,,,,,,,,,,
5487980,15,2,1,0,0,1,9,7,3,1,2,0,,,,,,,,,,,,,,
6483500,10,4,1,0,1,0,7,2,4,1,1,1,,,,,,,,,,,,,,
6485500,11,2,2,0,1,0,13,4,2,2,0,1,,,,,,,,,,,,,,
6600500,9,2,3,1,0,0,9,2,1,1,0,1,,,,,,,,,,,,,,
6607200,8,3,2,1,0,0,8,1,3,0,0,1,,,,,,,,,,,,,,
6607500,7,5,3,0,0,0,7,2,2,0,0,1,,,,,,,,,,,,,,
6608500,8,5,3,0,0,0,5,0,1,1,0,4,,,,,,,,,,,,,,
6609500,7,5,1,1,0,0,1,1,4,1,1,1,,,,,,,,,,,,,,
6807410,8,6,0,0,1,0,5,2,1,0,0,2,,,,,,,,,,,,,,
6808500,8,3,2,1,0,0,4,5,0,0,0,0,,,,,,,,,,,,,,
6809500,14,0,2,0,0,1,8,2,3,1,0,2,,,,,,,,,,,,,,
6810000,11,0,2,2,0,0,6,3,0,1,0,4,,,,,,,,,,,,,,
6817000,11,2,4,0,0,0,1,4,6,1,0,4,,,,,,,,,,,,,,
6898000,10,3,1,0,0,1,8,1,3,2,2,3,,,,,,,,,,,,,,
Avg,9.777777778,2.925925926,2,0.666666667,0.111111111,0.185185185,7.814814815,2.814814815,2.740740741,1,0.518518519,1.666666667,,,,,,,,,,,,,,
